Date,Species,Origin,Quantity,Supplier,EmergedEarly,DOA,FTE,W,Parasite,NumberGlued,PecentEmergence
3/4/2021,Caligo atreus,COSTA RICA,20,CRES,,,,,,20,100.0
3/4/2021,Caligo memnon,COSTA RICA,48,CRES,,,,,,48,100.0
3/4/2021,Catonephele mexicana,COSTA RICA,10,CRES,,,,,,10,100.0
3/4/2021,Catonephele numilia,COSTA RICA,14,CRES,,,3,3,,14,57.1
3/4/2021,Dryas iulia,COSTA RICA,30,CRES,,,,1,,30,96.7
3/4/2021,Dryadula phaetusa,COSTA RICA,23,CRES,,,1,2,,23,87.0
3/4/2021,Hamadryas februa,COSTA RICA,11,CRES,,,,,,11,100.0
3/4/2021,Hamadryas feronia,COSTA RICA,10,CRES,,,,,,10,100.0
3/4/2021,Heliconius charitonius,COSTA RICA,12,CRES,,,,,,12,100.0
3/4/2021,Heliconius doris,COSTA RICA,9,CRES,,,,,,9,100.0
3/4/2021,Heliconius hecale,COSTA RICA,18,CRES,,,,,,18,100.0
3/4/2021,Heliconius hewitsoni,COSTA RICA,10,CRES,,,,,,10,100.0
3/4/2021,Heliconius ismenius,COSTA RICA,10,CRES,,,,,,10,100.0
3/4/2021,Heliconius melpomene,COSTA RICA,16,CRES,,,,,,16,100.0
3/4/2021,Heliconius sara,COSTA RICA,24,CRES,,,,,,24,100.0
3/4/2021,Hypna clytemnestra,COSTA RICA,17,CRES,,,,3,,17,82.4
3/4/2021,Morpho peleides,COSTA RICA,100,CRES,,,,1,,100,99.0
3/4/2021,Papilio thoas,COSTA RICA,23,CRES,,,,,,23,100.0
3/4/2021,Parides iphidamas,COSTA RICA,24,CRES,,,,,,24,100.0
3/4/2021,Prepona omphale,COSTA RICA,15,CRES,,,1,1,,15,86.7
3/4/2021,Siproeta epaphus,COSTA RICA,53,CRES,,,,,,53,100.0
3/4/2021,Siproeta stelenes,COSTA RICA,50,CRES,,,,,,50,100.0
3/4/2021,Attacus atlas,PHILIPPINES,10,LPS,,,,,,10,100.0
3/4/2021,Cethosia biblis,PHILIPPINES,10,LPS,3,,,3,,7,57.1
3/4/2021,Cethosia cyane,USA,30,LPS,3,,,9,,27,66.7
3/4/2021,Doleschallia bisaltide,PHILIPPINES,10,LPS,1,,1,,,9,88.9
3/4/2021,Graphium agamemnon,USA,10,LPS,,,5,7,,10,-20.0
3/4/2021,Hebomoia glaucippe,THAILAND,20,LPS,,,,5,,20,75.0
3/4/2021,Idea leuconoe,THAILAND,30,LPS,,,,3,,30,90.0
3/4/2021,Ideopsis juventa,PHILIPPINES,2,LPS,1,,,,,1,100.0
3/4/2021,Pachliopta kotzebuea,PHILIPPINES,10,LPS,,,,1,,10,90.0
3/4/2021,Papilio lowii,PHILIPPINES,20,LPS,1,,1,2,,19,84.2
3/4/2021,Papilio memnon,THAILAND,30,LPS,,,,,,30,100.0
3/4/2021,Papilio nephelus,THAILAND,10,LPS,,,,1,,10,90.0
3/4/2021,Papilio palinurus,PHILIPPINES,10,LPS,,,,3,,10,70.0
3/4/2021,Papilio rumanzovia,USA,19,LPS,,,,4,,19,78.9
3/4/2021,Parthenos sylvia lilacinus,USA,40,LPS,,,,1,,40,97.5
3/4/2021,Parthenos sylvia philippensis,PHILIPPINES,20,LPS,2,,1,3,,18,77.8
3/4/2021,Vindula dejone,USA,30,LPS,,,,2,,30,93.3
2/26/2021,Caligo atreus,COSTA RICA,29,CRES,,,,3,,29,89.7
2/26/2021,Caligo memnon,COSTA RICA,34,CRES,,,1,4,,34,85.3
2/26/2021,Catonephele numilia,COSTA RICA,10,CRES,,,,,,10,100.0
2/26/2021,Dryas iulia,COSTA RICA,20,CRES,,,1,4,,20,75.0
2/26/2021,Eryphanis polyxena,COSTA RICA,4,CRES,,,1,,,4,75.0
2/26/2021,Eueides isabella,COSTA RICA,15,CRES,,,4,6,,15,33.3
2/26/2021,Hamadryas februa,COSTA RICA,10,CRES,,,1,1,,10,80.0
2/26/2021,Hamadryas feronia,COSTA RICA,15,CRES,,,,1,,15,93.3
2/26/2021,Hamadryas laodamia,COSTA RICA,18,CRES,,,2,8,,18,44.4
2/26/2021,Heliconius charitonius,COSTA RICA,14,CRES,1,,,4,,13,69.2
2/26/2021,Heliconius erato,COSTA RICA,10,CRES,,,1,,,10,90.0
2/26/2021,Heliconius hecale,COSTA RICA,13,CRES,,,2,3,,13,61.5
2/26/2021,Heliconius hewitsoni,COSTA RICA,15,CRES,,,,2,,15,86.7
2/26/2021,Heliconius ismenius,COSTA RICA,14,CRES,,,6,4,,14,28.6
2/26/2021,Heliconius melpomene,COSTA RICA,15,CRES,,,,1,,15,93.3
2/26/2021,Heliconius sapho,COSTA RICA,6,CRES,,1,,,,5,100.0
2/26/2021,Heliconius sara,COSTA RICA,24,CRES,,,,7,,24,70.8
2/26/2021,Hypna clytemnestra,COSTA RICA,35,CRES,,,17,2,,35,45.7
2/26/2021,Morpho peleides,COSTA RICA,100,CRES,,,12,6,,100,82.0
2/26/2021,Papilio thoas,COSTA RICA,37,CRES,,,2,9,,37,70.3
2/26/2021,Parides arcas,COSTA RICA,4,CRES,,,2,,,4,50.0
2/26/2021,Parides iphidamas,COSTA RICA,31,CRES,,,,3,,31,90.3
2/26/2021,Siproeta epaphus,COSTA RICA,28,CRES,,,2,,,28,92.9
2/26/2021,Siproeta stelenes,COSTA RICA,25,CRES,,,1,6,,25,72.0
2/26/2021,Tithorea tarricina,COSTA RICA,12,CRES,,,5,2,,12,41.7
2/23/2021,Cethosia biblis,PHILIPPINES,10,LPS,,,3,2,,10,50.0
2/23/2021,Cethosia cyane,USA,30,LPS,,,5,5,,30,66.7
2/23/2021,Doleschallia bisaltide,PHILIPPINES,10,LPS,,,6,,,10,40.0
2/23/2021,Graphium agamemnon,Philippines,10,LPS,,,3,,,10,70.0
2/23/2021,Hebomoia glaucippe,THAILAND,20,LPS,,,2,,,20,90.0
2/23/2021,Idea leuconoe,USA,30,LPS,,,2,,,30,93.3
2/23/2021,Pachliopta kotzebuea,PHILIPPINES,10,LPS, ,,,,,10,100.0
2/23/2021,Papilio lowii,PHILIPPINES,20,LPS,,,2,,,20,90.0
2/23/2021,Papilio memnon,THAILAND,30,LPS,,,,,,30,100.0
2/23/2021,Papilio nephelus,USA,10,LPS,,,1,3,,10,60.0
2/23/2021,Papilio palinurus,PHILIPPINES,10,LPS,,,1,1,,10,80.0
2/23/2021,Papilio rumanzovia,PHILIPPINES,20,LPS,,,1,2,,20,85.0
2/23/2021,Parthenos sylvia lilacinus,USA,40,LPS,,,38,2,,40,0.0
2/23/2021,Parthenos sylvia philippensis,PHILIPPINES,20,LPS,,,10,2,,20,40.0
2/23/2021,Vindula dejone,MALAYSIA,30,LPS,,,4,,,30,86.7
2/23/2021,Battus belus,COSTA RICA,10,CRES,,,2,3,,10,50.0
2/23/2021,Caligo atreus,COSTA RICA,25,CRES,,,1,7,,25,68.0
2/23/2021,Caligo memnon,COSTA RICA,30,CRES,1,,8,13,,29,27.6
2/23/2021,Catonephele numilia,COSTA RICA,25,CRES,3,,11,10,,22,4.5
2/23/2021,Dryas iulia,COSTA RICA,22,CRES,15,7,,1,,0,#DIV/0!
2/23/2021,Dryadula phaetusa,COSTA RICA,18,CRES,2,1,5,5,,15,33.3
2/23/2021,Eryphanis polyxena,COSTA RICA,6,CRES,,,,1,,6,83.3
2/23/2021,Hamadryas februa,COSTA RICA,18,CRES,18,,,,,0,#DIV/0!
2/23/2021,Hamadryas laodamia,COSTA RICA,4,CRES,,,1,2,,4,25.0
2/23/2021,Heliconius charitonius,COSTA RICA,4,CRES,4,,,,,0,#DIV/0!
2/23/2021,Heliconius cydno,COSTA RICA,3,CRES,3,,,,,0,#DIV/0!
2/23/2021,Heliconius erato,COSTA RICA,12,CRES,6,,,,,6,100.0
2/23/2021,Heliconius hecale,COSTA RICA,24,CRES,6,18,1,4,,0,#DIV/0!
2/23/2021,Heliconius hewitsoni,COSTA RICA,15,CRES,14,,,,,1,100.0
