Date,Species,Quantity
03/11/2021,Attacus atlas,1.0
03/11/2021,Caligo atreus,5.0
03/11/2021,Caligo memnon,4.0
03/11/2021,Charaxes brutus,1.0
03/11/2021,Hebomoia glaucippe,4.0
03/11/2021,Hypna clytemnestra,1.0
03/11/2021,Morpho peleides ,32.0
03/11/2021,Pachliopta kotzebuea,5.0
03/11/2021,Papilio constantinus,1.0
03/11/2021,Papilio demodocus,2.0
03/11/2021,Papilio lowii,13.0
03/11/2021,Papilio nephelus,6.0
03/11/2021,Papilio nireus,2.0
03/11/2021,Papilio palinurus,1.0
03/11/2021,Papilio rumanzovia,3.0
03/11/2021,Papilio thoas,8.0
03/11/2021,Parides iphidamas,1.0
03/11/2021,Parthenos sylvia lilacinus,1.0
03/11/2021,Siproeta epaphus,8.0
03/10/2021,Caligo atreus,4.0
03/10/2021,Caligo memnon,8.0
03/10/2021,Catenophele mexicana,1.0
03/10/2021,Catonephele numilia,2.0
03/10/2021,Cethosia cyane,3.0
03/10/2021,Charaxes brutus,1.0
03/10/2021,Charaxes cithaeron,1.0
03/10/2021,Charaxes protoclea,1.0
03/10/2021,Doleschallia bisaltidae,4.0
03/10/2021,Dryadula phaetusa,9.0
03/10/2021,Hebomoia glaucippe,2.0
03/10/2021,Heliconius charitonius,1.0
03/10/2021,Heliconius hecale,2.0
03/10/2021,Idea leuconoe,1.0
03/10/2021,Morpho peleides ,19.0
03/10/2021,Pachliopta kotzebuea,1.0
03/10/2021,Papilio constantinus,1.0
03/10/2021,Papilio demodocus,4.0
03/10/2021,Papilio lowii,4.0
03/10/2021,Papilio memnon,11.0
03/10/2021,Papilio nephelus,3.0
03/10/2021,Papilio nireus,2.0
03/10/2021,Papilio rumanzovia,3.0
03/10/2021,Papilio thoas,5.0
03/10/2021,Parides iphidamas,3.0
03/10/2021,Parthenos sylvia lilacinus,3.0
03/10/2021,Siproeta epaphus,24.0
03/10/2021,Siproeta stelenes,15.0
03/09/2021,Caligo atreus,5.0
03/09/2021,Caligo memnon,3.0
03/09/2021,Catenophele mexicana,1.0
03/09/2021,Catonephele numilia,2.0
03/09/2021,Cethosia cyane,1.0
03/09/2021,Charaxes lasti,2.0
03/09/2021,Doleschallia bisaltidae,3.0
03/09/2021,Dryadula phaetusa,2.0
03/09/2021,Hebomoia glaucippe,2.0
03/09/2021,Heliconius charitonius,4.0
