Date,Species,Origin,Quantity,Supplier,EmergedEarly,DOA,FTE,W,Parasite,NumberGlued,PecentEmergence
03/04/2021,Hebomoia glaucippe,THAILAND,20.0,LPS,0,0,0,5.0,0,20.0,75.0
03/04/2021,Idea leuconoe,THAILAND,30.0,LPS,0,0,0,3.0,0,30.0,90.0
03/04/2021,Ideopsis juventa,PHILIPPINES,2.0,LPS,1.0,0,0,0,0,1.0,100.0
03/04/2021,Pachliopta kotzebuea,PHILIPPINES,10.0,LPS,0,0,0,1.0,0,10.0,90.0
03/04/2021,Papilio lowii,PHILIPPINES,20.0,LPS,1.0,0,1.0,2.0,0,19.0,84.21052631578947
03/04/2021,Papilio memnon,THAILAND,30.0,LPS,0,0,0,0,0,30.0,100.0
03/04/2021,Papilio nephelus,THAILAND,10.0,LPS,0,0,0,1.0,0,10.0,90.0
03/04/2021,Papilio palinurus,PHILIPPINES,10.0,LPS,0,0,0,3.0,0,10.0,70.0
03/04/2021,Papilio rumanzovia,USA,19.0,LPS,0,0,0,4.0,0,19.0,78.94736842105263
03/04/2021,Parthenos sylvia lilacinus,USA,40.0,LPS,0,0,0,1.0,0,40.0,97.5
03/04/2021,Parthenos sylvia philippensis,PHILIPPINES,20.0,LPS,2.0,0,1.0,3.0,0,18.0,77.77777777777779
03/04/2021,Vindula dejone,USA,30.0,LPS,0,0,0,2.0,0,30.0,93.33333333333333
02/26/2021,Caligo atreus,COSTA RICA,29.0,CRES,0,0,0,3.0,0,29.0,89.65517241379311
02/26/2021,Caligo memnon,COSTA RICA,34.0,CRES,0,0,1.0,4.0,0,34.0,85.29411764705883
02/26/2021,Catonephele numilia,COSTA RICA,10.0,CRES,0,0,0,0,0,10.0,100.0
02/26/2021,Dryas iulia,COSTA RICA,20.0,CRES,0,0,1.0,4.0,0,20.0,75.0
02/26/2021,Eryphanis polyxena,COSTA RICA,4.0,CRES,0,0,1.0,0,0,4.0,75.0
02/26/2021,Eueides isabella,COSTA RICA,15.0,CRES,0,0,4.0,6.0,0,15.0,33.333333333333336
02/26/2021,Hamadryas februa,COSTA RICA,10.0,CRES,0,0,1.0,1.0,0,10.0,80.0
02/26/2021,Hamadryas feronia,COSTA RICA,15.0,CRES,0,0,0,1.0,0,15.0,93.33333333333333
02/26/2021,Hamadryas laodamia,COSTA RICA,18.0,CRES,0,0,2.0,8.0,0,18.0,44.44444444444444
02/26/2021,Heliconius charitonius,COSTA RICA,14.0,CRES,1.0,0,0,4.0,0,13.0,69.23076923076923
02/26/2021,Heliconius erato,COSTA RICA,10.0,CRES,0,0,1.0,0,0,10.0,90.0
02/26/2021,Heliconius hecale,COSTA RICA,13.0,CRES,0,0,2.0,3.0,0,13.0,61.53846153846154
02/26/2021,Heliconius hewitsoni,COSTA RICA,15.0,CRES,0,0,0,2.0,0,15.0,86.66666666666667
02/26/2021,Heliconius ismenius,COSTA RICA,14.0,CRES,0,0,6.0,4.0,0,14.0,28.57142857142857
02/26/2021,Heliconius melpomene,COSTA RICA,15.0,CRES,0,0,0,1.0,0,15.0,93.33333333333333
02/26/2021,Heliconius sapho,COSTA RICA,6.0,CRES,0,1.0,0,0,0,5.0,100.0
02/26/2021,Heliconius sara,COSTA RICA,24.0,CRES,0,0,0,7.0,0,24.0,70.83333333333333
02/26/2021,Hypna clytemnestra,COSTA RICA,35.0,CRES,0,0,17.0,2.0,0,35.0,45.714285714285715
02/26/2021,Morpho peleides,COSTA RICA,100.0,CRES,0,0,12.0,6.0,0,100.0,82.0
02/26/2021,Papilio thoas,COSTA RICA,37.0,CRES,0,0,2.0,9.0,0,37.0,70.27027027027026
02/26/2021,Parides arcas,COSTA RICA,4.0,CRES,0,0,2.0,0,0,4.0,50.0
02/26/2021,Parides iphidamas,COSTA RICA,31.0,CRES,0,0,0,3.0,0,31.0,90.32258064516128
02/26/2021,Siproeta epaphus,COSTA RICA,28.0,CRES,0,0,2.0,0,0,28.0,92.85714285714286
02/26/2021,Siproeta stelenes,COSTA RICA,25.0,CRES,0,0,1.0,6.0,0,25.0,72.0
02/26/2021,Tithorea tarricina,COSTA RICA,12.0,CRES,0,0,5.0,2.0,0,12.0,41.666666666666664
02/23/2021,Cethosia biblis,PHILIPPINES,10.0,LPS,0,0,3.0,2.0,0,10.0,50.0
02/23/2021,Cethosia cyane,USA,30.0,LPS,0,0,5.0,5.0,0,30.0,66.66666666666667
02/23/2021,Doleschallia bisaltide,PHILIPPINES,10.0,LPS,0,0,6.0,0,0,10.0,40.0
02/23/2021,Graphium agamemnon,Philippines,10.0,LPS,0,0,3.0,0,0,10.0,70.0
02/23/2021,Hebomoia glaucippe,THAILAND,20.0,LPS,0,0,2.0,0,0,20.0,90.0
02/23/2021,Idea leuconoe,USA,30.0,LPS,0,0,2.0,0,0,30.0,93.33333333333333
02/23/2021,Pachliopta kotzebuea,PHILIPPINES,10.0,LPS, ,0,0,0,0,10.0,100.0
02/23/2021,Papilio lowii,PHILIPPINES,20.0,LPS,0,0,2.0,0,0,20.0,90.0
02/23/2021,Papilio memnon,THAILAND,30.0,LPS,0,0,0,0,0,30.0,100.0
02/23/2021,Papilio nephelus,USA,10.0,LPS,0,0,1.0,3.0,0,10.0,60.0
02/23/2021,Papilio palinurus,PHILIPPINES,10.0,LPS,0,0,1.0,1.0,0,10.0,80.0
02/23/2021,Papilio rumanzovia,PHILIPPINES,20.0,LPS,0,0,1.0,2.0,0,20.0,85.0
02/23/2021,Parthenos sylvia lilacinus,USA,40.0,LPS,0,0,38.0,2.0,0,40.0,0.0
02/23/2021,Parthenos sylvia philippensis,PHILIPPINES,20.0,LPS,0,0,10.0,2.0,0,20.0,40.0
02/23/2021,Vindula dejone,MALAYSIA,30.0,LPS,0,0,4.0,0,0,30.0,86.66666666666667
02/23/2021,Battus belus,COSTA RICA,10.0,CRES,0,0,2.0,3.0,0,10.0,50.0
02/23/2021,Caligo atreus,COSTA RICA,25.0,CRES,0,0,1.0,7.0,0,25.0,68.0
02/23/2021,Caligo memnon,COSTA RICA,30.0,CRES,1.0,0,8.0,13.0,0,29.0,27.586206896551722
02/23/2021,Catonephele numilia,COSTA RICA,25.0,CRES,3.0,0,11.0,10.0,0,22.0,4.545454545454541
02/23/2021,Dryas iulia,COSTA RICA,22.0,CRES,15.0,7.0,0,1.0,0,0.0,7
02/23/2021,Dryadula phaetusa,COSTA RICA,18.0,CRES,2.0,1.0,5.0,5.0,0,15.0,33.333333333333336
02/23/2021,Eryphanis polyxena,COSTA RICA,6.0,CRES,0,0,0,1.0,0,6.0,83.33333333333334
02/23/2021,Hamadryas februa,COSTA RICA,18.0,CRES,18.0,0,0,0,0,0.0,7
